Settlement House,Title,Main Office (delete or move to keep formatting),Address,City,Borough,State,Zipcode,Programs,Early Childhood Education,Afterschool Programs,Older Adult Services,Latitude,Longitude
Grand Street Settlement,Nest+m,,111 Columbia Street,New York,Manhattan,NY,10002,COMPASS/SONYC,,Afterschool,,40.719148,-73.979372
Grand Street Settlement,Dolphin Day Care,,1301 Gates Avenue,Brooklyn,Brooklyn,NY,11221,Head Start,Early Childhood Education,,,40.694493,-73.917495
Grand Street Settlement,Big Miracle Corporation; Learning Together with Love,,1365 Putnam Avenue,Brooklyn,Brooklyn,NY,11221,Head Start,Early Childhood Education,,,40.694453,-73.912784
Grand Street Settlement,Tanias Dream of Love,,1385 Putnam Avenue,Brooklyn,Brooklyn,NY,11221,Head Start,Early Childhood Education,,,40.694929,-73.91231
Grand Street Settlement,Beacon Community Center,,145 Stanton Street,New York,Manhattan,NY,10002,Beacon,,Afterschool,,40.720544,-73.98578
Grand Street Settlement,Traditional Day Care,,1469 Broadway,Brooklyn,Brooklyn,NY,11221,Head Start,Early Childhood Education,,,40.687747,-73.918702
Grand Street Settlement,Shining Starz Day Care,,167 Arlington Avenue,Brooklyn,Brooklyn,NY,11207,Head Start,Early Childhood Education,,,40.68037,-73.888716
Grand Street Settlement,Essex Crossing Best Buy Teen Tech Center,,168 Broome Street,New York,Manhattan,NY,10002,Other Children & Youth Services,,,,40.716824,-73.9854
Grand Street Settlement,Essex Crossing Community Center,,175 Delancey Street,New York,Manhattan,NY,10002,Other Older Adult Services,,,Older Adults,40.717174,-73.985448
Grand Street Settlement,Atlantic Ave Child and Family Center,,1825 Atlantic Avenue,Brooklyn,Brooklyn,NY,11233,Head Start,Early Childhood Education,,,40.677378,-73.925798
Grand Street Settlement,Williamsburg Community Center,,195 Graham Avenue,Brooklyn,Brooklyn,NY,11206,Cornerstone,,Afterschool,,40.709171,-73.943827
Grand Street Settlement,Rutgers Community Center,,200 Madison Street,New York,Manhattan,NY,10002,Cornerstone,,Afterschool,,40.712348,-73.990591
Grand Street Settlement,Narcisa Luz Del Saber,,205 Covert Street,Brooklyn,Brooklyn,NY,11207,Head Start,Early Childhood Education,,,40.690389,-73.908517
Grand Street Settlement,MS 582,,207 Bushwick Avenue,Brooklyn,Brooklyn,NY,11206,Community School,,,,40.70877,-73.939804
Grand Street Settlement,PS 196 Ten Eyck,,207 Bushwick Avenue,Brooklyn,Brooklyn,NY,11206,COMPASS/SONYC,,Afterschool,,40.70877,-73.939804
Grand Street Settlement,Juan Morel Campos Secondary School,,215 Heyward Street,Brooklyn,Brooklyn,NY,11206,Community School,,,,40.703734,-73.953216
Grand Street Settlement,Cornelia Connelly Center,,220 East 4th Street,New York,Manhattan,NY,10009,COMPASS/SONYC,,Afterschool,,40.723575,-73.983467
Grand Street Settlement,Lyons Community School,,223 Graham Avenue,Brooklyn,Brooklyn,NY,11206,COMPASS/SONYC,,Afterschool,,40.709823,-73.943912
Grand Street Settlement,PS 84,,250 Berry Street,Brooklyn,Brooklyn,NY,11249,COMPASS/SONYC,,Afterschool,,40.714849,-73.963132
Grand Street Settlement,Wyckoff Community Center,,280 Wyckoff Street,Brooklyn,Brooklyn,NY,11217,Cornerstone,,Afterschool,,40.682928,-73.983109
Grand Street Settlement,Manhattan Child & Family Center,,294 Delancey Street,New York,Manhattan,NY,10002,Head Start,Early Childhood Education,,,40.716367,-73.979257
Grand Street Settlement,Manhattan Child & Family Center,,300 Delancey Street,New York,Manhattan,NY,10002,Child Care Center,Early Childhood Education,,,40.716852,-73.978685
Grand Street Settlement,Brooklyn Community Arts and Media High School,,300 Willoughby Avenue,Brooklyn,Brooklyn,NY,11205,Community School,,,,40.69256,-73.95834
Grand Street Settlement,Bushwick Child & Family Center,,319 Stanhope Street,Brooklyn,Brooklyn,NY,11237,Cornerstone,,Afterschool,,40.70297,-73.918389
Grand Street Settlement,Marcus Garvey Community Center,,353 Chester Street,Brooklyn,Brooklyn,NY,11212,Other Children & Youth Services,,,,40.663124,-73.909892
Grand Street Settlement,Transfiguration School,,37 St. James Place,New York,Manhattan,NY,10038,COMPASS/SONYC,,Afterschool,,40.712377,-73.998912
Grand Street Settlement,Hope of the Future 1,,376 Palmetto Street,Brooklyn,Brooklyn,NY,11237,Head Start,Early Childhood Education,,,40.69865,-73.911755
Grand Street Settlement,PS 158 Warick,,400 Ashford Street,Brooklyn,Brooklyn,NY,11207,Community School,,,,40.67257,-73.884927
Grand Street Settlement,Roosevelt II Community Center,,400 Hart Street,Brooklyn,Brooklyn,NY,11206,Cornerstone,,Afterschool,,40.694634,-73.934716
Grand Street Settlement,Solesita Day Care,,402 Stanhope Street,Brooklyn,Brooklyn,NY,11237,Head Start,Early Childhood Education,,,40.705092,-73.915896
Grand Street Settlement,Best Day Care,,403 Stanhope Street,Brooklyn,Brooklyn,NY,11237,Head Start,Early Childhood Education,,,40.705163,-73.916187
Grand Street Settlement,Gowanus Community Center,,420 Baltic Street,Brooklyn,Brooklyn,NY,11217,Cornerstone,,Afterschool,,40.682774,-73.989062
Grand Street Settlement,Lafayette Gardens Community Center,,442 Dekalb Avenue,Brooklyn,Brooklyn,NY,11205,Cornerstone,,Afterschool,,40.690066,-73.959671
Grand Street Settlement,Marcy Houses Community Center,,492 Marcy Avenue,Brooklyn,Brooklyn,NY,11206,Cornerstone,,Afterschool,,40.69817,-73.95037
Grand Street Settlement,Bushwick-Hylan Community Center,,50 Humboldt Street,Brooklyn,Brooklyn,NY,11206,Cornerstone,,Afterschool,,40.703463,-73.940548
Grand Street Settlement,Kreative Kare Day Care Center; Little Treasures,,541 Knickerbocker Avenue,Brooklyn,Brooklyn,NY,11221,Head Start,Early Childhood Education,,,40.697412,-73.915655
Grand Street Settlement,Seward Park Community Center,,56 Essex Street,New York,Manhattan,NY,10002,Cornerstone,,Afterschool,,40.716899,-73.988859
Grand Street Settlement,Unity Plaza Community Center,,576 Blake Avenue,Brooklyn,Brooklyn,NY,11207,Cornerstone,,Afterschool,,40.666871,-73.897646
Grand Street Settlement,Hamilton Madison House,,60 Catherine Street,New York,Manhattan,NY,10038,Head Start,Early Childhood Education,,,40.71146,-73.997241
Grand Street Settlement,Manhattan Child & Family Center,,60 Essex Street,New York,Manhattan,NY,10002,"Child Care Center, Head Start",Early Childhood Education,,,40.716959,-73.988684
Grand Street Settlement,Baruch Houses Community Center,,605 FDR Drive,New York,Manhattan,NY,10002,Cornerstone,,Afterschool,,40.718082,-73.975424
Grand Street Settlement,Little Bell,,629 51st Street,Brooklyn,Brooklyn,NY,11220,Head Start,Early Childhood Education,,,40.642848,-74.007838
Grand Street Settlement,Happy Face Day Care,,65 Bush Street,Brooklyn,Brooklyn,NY,11231,Head Start,Early Childhood Education,,,40.675513,-74.006589
Grand Street Settlement,PS 297 Abraham Stockton,,700 Park Avenue,Brooklyn,Brooklyn,NY,11206,Community School,,,,40.697642,-73.947724
Grand Street Settlement,Senior Housing,,711 East 6th Street,New York,Manhattan,NY,10009,Other Older Adult Services,,,Older Adults,40.723287,-73.97849
Grand Street Settlement,BEST NORC (Baruch Houses),,72 Columbia Street,New York,Manhattan,NY,10002,NORC,,,Older Adults,40.717114,-73.979163
Grand Street Settlement,Tompkins Community Center,,736 Park Avenue,Brooklyn,Brooklyn,NY,11206,Cornerstone,,Afterschool,,40.697754,-73.946093
Grand Street Settlement,G&T Child Care Corp.,,775 50th Street,Brooklyn,Brooklyn,NY,11220,Head Start,Early Childhood Education,,,40.641456,-74.004053
Grand Street Settlement,Pitt Street Community Center,X,80 Pitt Street,New York,Manhattan,NY,10002,"Head Start, COMPASS/SONYC, Older Adult Center, Food Access, Family Services",Early Childhood Education,Afterschool,Older Adults,40.718176,-73.981776
Grand Street Settlement,PS 157 Benjamin Franklin,,850 Kent Avenue,Brooklyn,Brooklyn,NY,11205,COMPASS/SONYC,,Afterschool,,40.695284,-73.959661
Grand Street Settlement,Sunset Park Child & Family Center,,850-856 50th Street,Brooklyn,Brooklyn,NY,11220,Head Start,Early Childhood Education,,,40.640228,-74.002475
Grand Street Settlement,Sunset Park Child & Family Center,,928 55th Street,Brooklyn,Brooklyn,NY,11219,Head Start,Early Childhood Education,,,40.63646,-74.003798
Grand Street Settlement,Julizbeth Day Care,,99 Cornelia Street,Brooklyn,Brooklyn,NY,11221,Head Start,Early Childhood Education,,,40.689981,-73.915978
Greenwich House,Geriatric MH ,,12 Ave D ,New York,Manhattan,NY,10009,Mental Health & Substance Abuse,,,,40.720246,-73.978183
Greenwich House,Children & Youth Services at FJC Queens,,126-02 82nd Ave. ,Kew Gardnes,Queens,NY,11415,"Mental Health & Substance Abuse, Violence Prevention",,,,40.713443,-73.826011
Greenwich House,Geriatric MH ,,15-17 Willett Street,New York,Manhattan,NY,10002,Mental Health & Substance Abuse,,,,40.7158448,-73.9858684
Greenwich House,Older Adult Center @ Westbeth Artist Housing,,155 Bank Street,New York,Manhattan,NY,10014,"Older Adult Center, Mental Health & Substance Abuse",,,Older Adults,40.736553,-74.009332
Greenwich House,Pottery,,16 Jones Street,New York,Manhattan,NY,10014,Arts & Culture,,,,40.731978,-74.002392
Greenwich House,After School @ PS19,,185 1st Ave,New York,Manhattan,NY,10003,Other Children & Youth Services,,,,40.729743,-73.98402
Greenwich House,Center for Healing (Methadone Maintenance Treatment Program),,190 Mercer Street,New York,Manhattan,NY,10012,Mental Health & Substance Abuse,,,,40.726239,-73.997094
Greenwich House,Center on the Square,,20 Washington Square North,New York,Manhattan,NY,10011,"Older Adult Center, Mental Health & Substance Abuse",,,Older Adults,40.731952,-73.997768
Greenwich House,Geriatric MH ,,204 E 23rd St,New Yok,Manhattan,NY,10010,Mental Health & Substance Abuse,,,,40.738486,-73.982726
Greenwich House,Children & Youth Services at FJC Mahattan,,225 W 39th St,New York,Manhattan,NY,10018,"Mental Health & Substance Abuse, Violence Prevention",,,,40.754654,-73.989285
Greenwich House,Geriatric MH ,,239 W 49th ST.,New York,Manhattan,NY,10019,Mental Health & Substance Abuse,,,,40.761413,-73.985676
Greenwich House,Our Lady of Pompeii,,25 Carmine Street,New York,Manhattan,NY,10014,Older Adult Center,,,Older Adults,40.730363,-74.002787
Greenwich House,Lifelong Skills & Opportunity Center & Barrow Street Nursery School & Youth Programming,X,27 Barrow Street,New York,Manhattan,NY,10014,"Workforce Development, Other Children & Youth Services, Arts & Culture",,,,40.732418,-74.00315
Greenwich House,Independence Plaza,,310 Greenwich Street,New York,Manhattan,NY,10013,"Older Adult Center, Mental Health & Substance Abuse",,,Older Adults,40.717596,-74.010866
Greenwich House,Afterschool @ PS15,,333 E 4th St.,New York,Manhattan,NY,10009,Other Children & Youth Services,,,,40.721793,-73.978713
Greenwich House,Geriatric MH ,,334 Madison St.,New York,Manhattan,NY,10002,Mental Health & Substance Abuse,,,,40.713069,-73.982779
Greenwich House,Geriatric MH ,,343 E 70th ,New York,Manhattan,NY,10021,Mental Health & Substance Abuse,,,,40.766755,-73.957123
Greenwich House,Greenwich House Music,,46 Barrow Street,New York,Manhattan,NY,10014,Arts & Culture,,,,40.732126,-74.004506
Greenwich House,Geriatric MH ,,530 W 55th St,New York,Manhattan,NY,10019,Mental Health & Substance Abuse,,,,40.768091,-73.991005
Greenwich House,Geriatric MH ,,601 Lexington Ave. ,New York,Manhattan,NY,10022,Mental Health & Substance Abuse,,,,40.758412,-73.970505
Greenwich House,Center for Resiliency & Wellness,,623 Broadway,New York,Manhattan,NY,10012,Mental Health & Substance Abuse,,,,40.725948,-73.996533
Greenwich House,Chelsea Pottery,,80 8th Ave,New York,Manhattan,NY,10011,Arts & Culture,,,,40.739929,-74.002179
Hamilton-Madison House,City Hall Older Adult Center / Caregiver Services,,100 Gold Street,New York,Manhattan,NY,10038,"Older Adult Center, Other Older Adult Services, Adult Literacy, Arts & Culture, Food Access, Health & Fitness, Immigrant Services",,,Older Adults,40.710464,-74.003634
Hamilton-Madison House,Supported Housing and Korean Clinic,,108-11 48th Ave.,Corona,Queens,NY,11368,"Mental Health & Substance Abuse, Housing & Homelessness",,,,40.746214,-73.855832
Hamilton-Madison House,Chatham Green NORC,,185 Park Row,New York,Manhattan,NY,10038,NORC,,,Older Adults,40.712481,-73.999873
Hamilton-Madison House,DOE Head Start,,243 Cherry Street,New York,Manhattan,NY,10002,Head Start,Early Childhood Education,,,40.71074,-73.990599
Hamilton-Madison House,"Main Office; Social Adult Day; Outpatient Behavioral Health Clinics (Article 31, 32) + PROS + CONNECT",X,253 South Street,New York,Manhattan,NY,10002,"Mental Health & Substance Abuse, Other Older Adult Services",,,Older Adults,40.710144,-73.990538
Hamilton-Madison House,Knickerbocker Village NORC,,36 Monroe Street,New York,Manhattan,NY,10002,NORC,,,Older Adults,40.711437,-73.994528
Hamilton-Madison House,Smith Community Center / Smith NORC; Caregiver Services,,50 Madison Street,New York,Manhattan,NY,10038,"Other Children & Youth Services, NORC, Arts & Culture, Adult Literacy, Food Access, Health & Fitness, Immigrant Services, Other Older Adult Services",,,Older Adults,40.711659,-73.997837
Hamilton-Madison House,Childcare + Early Head Start (federal),,60 Catherine Street,New York,Manhattan,NY,10038,"Child Care Center, Other Children & Youth Services",Early Childhood Education,,,40.71146,-73.997241
Hamilton-Madison House,77 Market Street - DOE Head Start,,77 Market Street,New York,Manhattan,NY,10002,Head Start,Early Childhood Education,,,40.710649,-73.994249
Hamilton-Madison House,Two Bridges Senior Apartments,,80 Rutgers Slip,New York,Manhattan,NY,10002,Other Older Adult Services,,,Older Adults,40.710782,-73.990058
Hamilton-Madison House,Southbridge Towers (1 day/week),,90 Beekman Street,New York,Manhattan,NY,10038,Other Older Adult Services,,,Older Adults,40.708811,-74.003712
Henry Street Settlement,PS 142,,100 Attorney St.,New York,Manhattan,NY,10002,"Community School, Arts & Culture, Mental Health & Substance Abuse",,,,40.718515,-73.984218
Henry Street Settlement,PS 140,,123 Ridge Street,New York,Manhattan,NY,10002,Mental Health & Substance Abuse,,,,40.719137,-73.983284
Henry Street Settlement,M515 - Lower East Side Prep,,145 Stanton St.,New York,Manhattan,NY,10002,Arts & Culture,,,,40.720544,-73.98578
Henry Street Settlement,PS 20,,166 Essex St.,New York,Manhattan,NY,10002,"COMPASS/SONYC, Summer Rising, Arts & Culture, Mental Health & Substance Abuse",,Afterschool,,40.721327,-73.98657
Henry Street Settlement,Workforce Development Center,,178 Broome Street,New York,Manhattan,NY,10002,"Adult Literacy, Workforce Development, Immigrant Services, Mental Health & Substance Abuse, Youth Employment Services",,,,40.717015,-73.986287
Henry Street Settlement,M458 - Forsyth Satellite Academy / Pathways 2 Graduation Tenzer Learning Center,,198 Forsyth Street,New York,Manhattan,NY,10002,Arts & Culture,,,,40.722499,-73.990599
Henry Street Settlement,M448 - University Neighborhood High School,,200 Monroe St.,New York,Manhattan,NY,10002,Arts & Culture,,,,40.712415,-73.98401
Henry Street Settlement,M292 - Orchard Collegiate Academy,,220 Henry Street,New York,Manhattan,NY,10002,"Community School, Arts & Culture, Mental Health & Substance Abuse",,,,40.713612,-73.986311
Henry Street Settlement,M332 - United Neighborhood Middle School,,220 Henry Street,New York,Manhattan,NY,10002,"Community School, Arts & Culture, Mental Health & Substance Abuse, Other Children & Youth Services, COMPASS/SONYC",,Afterschool,,40.713612,-73.986311
Henry Street Settlement,Jobs Plus ,,24 Avenue D,New York,Manhattan,NY,10009,"Workforce Development, Family Services, Mental Health & Substance Abuse, Youth Employment Services",,,,40.720577,-73.977528
Henry Street Settlement,Henry Street Headquarters,X,265 Henry St.,New York,Manhattan,NY,10002,Civic Engagement & Community Organizing,,,,40.713971,-73.984507
Henry Street Settlement,Dale Jones Burch Neighborhood Center,,269 Henry Street,New York,Manhattan,NY,10002,"Family Services, Food Access, Immigrant Services",,,,40.713989,-73.984332
Henry Street Settlement,Third Street Women's Residence,,282 East 3rd St,New York,Manhattan,NY,10009,"Housing & Homelessness, Mental Health & Substance Abuse",,,,40.721347,-73.980066
Henry Street Settlement,PS 110,,285 Delancey St.,New York,Manhattan,NY,10002,"Other Children & Youth Services, Arts & Culture",,,,40.715522,-73.979954
Henry Street Settlement,Third Street Supportive Housing,,290 East 3rd St,New York,Manhattan,NY,10009,"Housing & Homelessness, Mental Health & Substance Abuse",,,,40.721236,-73.979811
Henry Street Settlement,PS 134,,293 East Broadway,New York,Manhattan,NY,10002,"Mental Health & Substance Abuse, Arts & Culture, Beacon, COMPASS/SONYC",,Afterschool,,40.714522,-73.983153
Henry Street Settlement,301 Henry Street Youth Center,,301 Henry St.,New York,Manhattan,NY,10002,"Child Care Center, Youth Employment Services, Other Children & Youth Services, Health & Fitness",Early Childhood Education,,,40.714165,-73.982704
Henry Street Settlement,Helen's House,,309 Henry Street,New York,Manhattan,NY,10002,"Housing & Homelessness, Family Services",,,,40.714206,-73.982318
Henry Street Settlement,PS 147,,325 Bushwick Ave,New York,Brooklyn,NY,11206,Arts & Culture,,,,40.70478,-73.939007
Henry Street Settlement,PS 184,,327 Cherry St.,New York,Manhattan,NY,10002,"COMPASS/SONYC, Arts & Culture",,Afterschool,,40.711507,-73.985852
Henry Street Settlement,Older Adult Center,,334 Madison St.,New York,Manhattan,NY,10002,Older Adult Center,,,Older Adults,40.713069,-73.982779
Henry Street Settlement,Senior Companions Program; Naturally Occurring Retirement Community,,351 Madison Street,New York,Manhattan,NY,10002,"NORC, Other Older Adult Services",,,Older Adults,40.713803,-73.982734
Henry Street Settlement,Meals on Wheels Office,,367 Madison St.,New York,Manhattan,NY,10002,"Food Access, Other Older Adult Services",,,Older Adults,40.713829,-73.982364
Henry Street Settlement,Community Consultation Center,,40 Montgomery St.,New York,Manhattan,NY,10002,Mental Health & Substance Abuse,,,,40.712674,-73.985597
Henry Street Settlement,PS 188,,442 Houston St.,New York,Manhattan,NY,10002,"Community School, Arts & Culture, Mental Health & Substance Abuse, Other Children & Youth Services",,,,40.719971,-73.979481
Henry Street Settlement,Abrons Arts Center,,466 Grand St.,New York,Manhattan,NY,10002,Arts & Culture,,,,40.715215,-73.98375
Henry Street Settlement,Jacob Riis Cornerstone,,80 Avenue D,New York,Manhattan,NY,10009,"Cornerstone, Adult Literacy, Other Children & Youth Services",,Afterschool,,40.722593,-73.976278
Henry Street Settlement,PS 126,,80 Catherine St.,New York,Manhattan,NY ,10038,Mental Health & Substance Abuse,,,,40.710352,-73.996705
Henry Street Settlement,Boys and Girls Republic,,888 East Sixth St.,New York,Manhattan,NY,10009,"COMPASS/SONYC, LEAPS, Summer Rising, Other Children & Youth Services, Health & Fitness",,Afterschool,,40.722081,-73.976246
Hudson Guild/Hartley House,Fulton Center,,119 9th Ave,New York,Manhattan,NY,10011,Older Adult Center,,,Older Adults,40.743252,-74.003941
Hudson Guild/Hartley House,Amsterdam Houses,,206 West 64th St.,New York,Manhattan,NY,10023,Child Care Center,Early Childhood Education,,,40.773613,-73.985732
Hudson Guild/Hartley House,Clinton Housing,,300 W 46th St,New York,Manhattan,NY,10036,Housing & Homelessness,,,,40.759843,-73.988325
Hudson Guild/Hartley House,P.S. 191,,300 West 61st Street,New York,Manhattan,NY,10023,"COMPASS/SONYC, Summer Rising",,Afterschool,,40.772966,-73.990123
Hudson Guild/Hartley House,Clinton Housing,,353 West 30th St,New York,Manhattan,NY,10001,Housing & Homelessness,,,,40.75079,-73.997299
Hudson Guild/Hartley House,Clinton Center,,410 W 40th St,New York,Manhattan,NY,10018,Child Care Center,Early Childhood Education,,,40.757318,-73.994266
Hudson Guild/Hartley House,Hartley House,,413 W 46th St.,New York,Manhattan,NY,10036,Other Children & Youth Services,,,,40.761283,-73.991208
Hudson Guild/Hartley House,TechUp Learning Lab,,418 West 17th St.,New York,Manhattan,NY,10011,Other Children & Youth Services,,,,40.742965,-74.004965
Hudson Guild/Hartley House,NORC,,428 W 26th St,New York,Manhattan,NY,10001,NORC,,,Older Adults,40.748852,-74.001452
Hudson Guild/Hartley House,John Lovejoy Elliot Center,X,441 W 26th St,New York,Manhattan,NY,10001,"Youth Employment Services, Arts & Culture, Mental Health & Substance Abuse, Civic Engagement & Community Organizing",,,,40.749557,-74.001512
Hudson Guild/Hartley House,Clinton Housing,,454 W 35th St,New York,Manhattan,NY,10001,Housing & Homelessness,,,,40.754889,-73.998048
Hudson Guild/Hartley House,Children's Center,,459 W 26th St,New York,Manhattan,NY,10001,Child Care Center,Early Childhood Education,,,40.749486,-74.002171
Hudson Guild/Hartley House,Clinton Housing Mental Health and Case Managment Services (42nd Street),,500 W 42nd St,New York,Manhattan,NY,10036,Housing & Homelessness,,,,40.75964,-73.995903
Hudson Guild/Hartley House,Polly Dodge Center,,538 West 55th Street,New York,Manhattan,NY,10019,Child Care Center,Early Childhood Education,,,40.768591,-73.991596
Hudson Guild/Hartley House,Clinton Housing,,554 W 53rd St,New York,Manhattan,NY,10019,Housing & Homelessness,,,,40.767563,-73.993041
Huntington Family Centers,Main Office,X,405 Gifford Street,Syracuse,Syracuse,NY,13204,"Child Care Center, Other Children & Youth Services, Older Adult Center, Other Older Adult Services, Food Access, Family Services",Early Childhood Education,,Older Adults,43.043126,-76.160723
Huntington Family Centers,Oswego County Office,,808 West Broadway St,Fulton,Fulton,NY,13069,Mental Health & Substance Abuse,,,,43.313466,-76.426471
Huntington Family Centers,Delaware County Office,,99 Main St,Delhi,Delhi,NY,12723,Mental Health & Substance Abuse,,,,41.766303,-75.057941
Jacob Riis Neighborhood Settlement,Riise and Build Center (RBC),,10-16 41st ave,Long Island City,Queens,NY,11101,Civic Engagement & Community Organizing,,,,40.755268,-73.945303
Jacob Riis Neighborhood Settlement,Queensbridge Headquarters,X,10-25 41st Ave.,Long Island City,Queens,NY,11101,"Cornerstone, Summer Rising, Other Children & Youth Services, NORC, Older Adult Center, Civic Engagement & Community Organizing, Immigrant Services, Food Access",,Afterschool,Older Adults,40.755456,-73.944639
Jacob Riis Neighborhood Settlement,Information Technology High School,,21-16 44th Rd.,Long Island City,Queens,NY,11101,"LEAPS, Youth Employment Services",,Afterschool,,40.748632,-73.946444
Jacob Riis Neighborhood Settlement,Astoria Family Enrichment Center,,31-18 31 Street,Astoria,Queens,NY,11106,"Family Services, Other Children & Youth Services",,,,40.763906,-73.924095
Jacob Riis Neighborhood Settlement,PS 166 Henry Gradstein,,33-09 35th Ave.,Astoria,Queens,NY,11106,COMPASS/SONYC,,Afterschool,,40.757355,-73.926474
Jacob Riis Neighborhood Settlement,Ravenswood Community Center,,35-40 21st Street,Astoria,Queens,NY,11106,"Cornerstone, Youth Employment Services, Workforce Development, Summer Rising, Other Children & Youth Services, Family Services",,Afterschool,,40.760494,-73.936703
Jacob Riis Neighborhood Settlement,PS 111 Jacob Blackwell,,37-15 13th Street,Long Island City,Queens,NY,11101,"COMPASS/SONYC, Arts & Culture",,Afterschool,,40.758608,-73.939375
Jacob Riis Neighborhood Settlement,Administrative Headquarters,,5-46 46th Avenue,Long Island City,Queens,NY,11101,,,,,40.746928,-73.953474
Kingsbridge Heights Community Center,Walton Campus,,2780 Reservoir Ave.,Bronx,Bronx,NY,10468,"Other Children & Youth Services, COMPASS/SONYC",,Afterschool,,40.870689,-73.897592
Kingsbridge Heights Community Center,Early Childhood Buildling ,,3067 Kingsbridge Terrace,Bronx,Bronx,NY,10463,Child Care Center,Early Childhood Education,,,40.87737,-73.900943
Kingsbridge Heights Community Center,Stern House,,3071 Kingsbridge Terrace,Bronx,Bronx,NY,10463,"Mental Health & Substance Abuse, Violence Prevention",,,,40.877456,-73.900857
Kingsbridge Heights Community Center,"Main Office/Admin/Early Childhood/Youth,Adult and Family",X,3101 Kingsbridge Terrace,Bronx,Bronx,NY,10463,"Child Care Center, COMPASS/SONYC, Head Start, Summer Rising, Other Children & Youth Services, Youth Employment Services, Adult Literacy, Arts & Culture, Food Access, Family Services, Housing & Homelessness, Immigrant Services, Violence Prevention, Workforce Development, Mental Health & Substance Abuse",Early Childhood Education,Afterschool,,40.877523,-73.900547
Kingsbridge Heights Community Center,JFK Campus,,99 Terrace View Ave.,Bronx,Bronx,NY,10463,"COMPASS/SONYC, Other Children & Youth Services",,Afterschool,,40.877268,-73.912579
Korean Community Services,Public Health & Research Center,,"103-04 39th Ave, #103",Queens,Queens,NY,11368,"Civic Engagement & Community Organizing, Health & Fitness, Housing & Homelessness, Immigrant Services",,,,40.750642,-73.862909
Korean Community Services,Main Building,X,203-05 32nd Avenue,Queens,Queens,NY,11361,"Immigrant Services, Other Children & Youth Services, Older Adult Center, Other Older Adult Services, Adult Literacy, Arts & Culture, Civic Engagement & Community Organizing, Health & Fitness, Housing & Homelessness, Workforce Development, Food Access, Family Services, Mental Health & Substance Abuse",,,Older Adults,40.770763,-73.786531
Korean Community Services,Public Health & Research Center,,2460 Lemoine Ave,Fort Lee,Bergen,NJ,07024,"Civic Engagement & Community Organizing, Food Access, Family Services, Health & Fitness, Housing & Homelessness, Violence Prevention",,,,40.864312,-73.961478
Korean Community Services,Public Health & Research Center,,"315 5th Ave, #705",New York,Manhattan,NY,10016,"Civic Engagement & Community Organizing, Health & Fitness, Housing & Homelessness, Food Access",,,,40.746994,-73.985397
Korean Community Services,Workforce Development,,"325 West 38th St, Suite 1107",New York,Manhattan,NY,10018,"Workforce Development, NORC",,,Older Adults,40.75532,-73.992793
Korean Community Services,Corona Neighborhood Senior Center,,37-06 111th Street,Queens,Queens,NY,11368,"Other Older Adult Services, Older Adult Center, Food Access, Housing & Homelessness, Violence Prevention",,,Older Adults,40.753677,-73.857063
Korean Community Services,Flushing Neighborhood Senior Center,,42-15 166th Street,Queens,Queens,NY,11358,"Older Adult Center, Other Older Adult Services, Housing & Homelessness, Food Access, Arts & Culture, Violence Prevention, Family Services",,,Older Adults,40.75901,-73.800211
Korean Community Services,Mental Health Clinic,,42-16 162nd Street,Queens,Queens,NY,11358,Mental Health & Substance Abuse,,,,40.759767,-73.804285
Korean Community Services,Older Adult Services,,633 W 115th St,New York,Manhattan,NY,10025,"Older Adult Center, Other Older Adult Services, Food Access, Housing & Homelessness, COMPASS/SONYC",,Afterschool,Older Adults,40.808051,-73.965792
Lenox Hill Neighborhood House,Casa Mutua Supportive Housing Residence,,159-61 East102nd St.,New York,Manhattan,NY,10029,Housing & Homelessness,,,,40.789647,-73.947776
Lenox Hill Neighborhood House,Administrative and Program Headquarters,X,331 E.70th St.,New York,Manhattan,NY,10021,"Head Start, Other Older Adult Services, Adult Literacy, Food Access",Early Childhood Education,,Older Adults,40.766956,-73.957774
Lenox Hill Neighborhood House,Center @ Lenox Hill Neighborhood House,,343 East 70th St.,New York,Manhattan,NY,10021,Older Adult Center,,,Older Adults,40.766755,-73.957123
Lenox Hill Neighborhood House,Older Adult Center @ St. Peter's Church,,619 Lexington Ave,New York,Manhattan,NY,10022,Older Adult Center,,,Older Adults,40.758687,-73.97038
Lenox Hill Neighborhood House,Women's Mental Health Shelter,,643 Park Avenue,New York,Manhattan,NY,10065,Housing & Homelessness,,,,40.76751,-73.966134
Martin Luther King Multipurpose Center,Martin Luther King Multipurpose Center,,110 Bethune Blvd,Spring Valley,Rockland County,NY,10977,"Other Children & Youth Services, Other Older Adult Services, Family Services, Food Access, Civic Engagement & Community Organizing, Health & Fitness",,,Older Adults,41.119049,-74.037808
MMCC,PS 66,,1001 Jennings St,Bronx,Bronx,NY,10460,21st Century Community Learning Center,,Afterschool,,40.831224,-73.886726
MMCC,Edenwald Community Center,,1150 E 229th St.,Bronx,Bronx,NY,10466,"Cornerstone, Other Older Adult Services, Mental Health & Substance Abuse",,Afterschool,Older Adults,40.885942,-73.84494
MMCC,MS 244,,120 W 231st St.,Bronx,Bronx,NY,10463,COMPASS/SONYC,,Afterschool,,40.875954,-73.901426
MMCC,AmPark Teen Center,,130 Gale Place,Bronx,Bronx,NY,10463,Other Children & Youth Services,,,,40.885128,-73.893168
